timestamp,predicted_ridership,demand_level
2026-08-05 19:00:00,485,HIGH
2026-08-05 20:00:00,350,HIGH
2026-08-05 21:00:00,227,MODERATE
2026-08-05 22:00:00,125,MODERATE
2026-08-05 23:00:00,41,LOW
2026-08-06 00:00:00,24,LOW
2026-08-06 01:00:00,12,LOW
2026-08-06 02:00:00,9,LOW
2026-08-06 03:00:00,17,LOW
2026-08-06 04:00:00,29,LOW
2026-08-06 05:00:00,114,MODERATE
2026-08-06 06:00:00,435,HIGH
2026-08-06 07:00:00,855,VERY HIGH
2026-08-06 08:00:00,918,VERY HIGH
2026-08-06 09:00:00,701,VERY HIGH
2026-08-06 10:00:00,589,HIGH
2026-08-06 11:00:00,575,HIGH
2026-08-06 12:00:00,572,HIGH
2026-08-06 13:00:00,589,HIGH
2026-08-06 14:00:00,660,VERY HIGH
2026-08-06 15:00:00,671,VERY HIGH
2026-08-06 16:00:00,696,VERY HIGH
2026-08-06 17:00:00,749,VERY HIGH
2026-08-06 18:00:00,613,VERY HIGH
