transit_timestamp,bus_route,total_ridership
2025-01-01 00:00:00,B1,28
2025-01-01 00:00:00,B100,3
2025-01-01 00:00:00,B101,0
2025-01-01 00:00:00,B103,72
2025-01-01 00:00:00,B106,0
2025-01-01 00:00:00,B11,12
2025-01-01 00:00:00,B111,0
2025-01-01 00:00:00,B12,36
2025-01-01 00:00:00,B13,21
2025-01-01 00:00:00,B14,12
2025-01-01 00:00:00,B15,38
2025-01-01 00:00:00,B16,6
2025-01-01 00:00:00,B17,48
2025-01-01 00:00:00,B2,0
2025-01-01 00:00:00,B20,8
2025-01-01 00:00:00,B24,5
2025-01-01 00:00:00,B25,26
2025-01-01 00:00:00,B26,20
2025-01-01 00:00:00,B3,20
2025-01-01 00:00:00,B31,10
2025-01-01 00:00:00,B32,0
2025-01-01 00:00:00,B35,66
2025-01-01 00:00:00,B36,21
2025-01-01 00:00:00,B37,1
2025-01-01 00:00:00,B38,54
2025-01-01 00:00:00,B39,0
2025-01-01 00:00:00,B4,13
2025-01-01 00:00:00,B41,142
2025-01-01 00:00:00,B42,0
2025-01-01 00:00:00,B43,47
2025-01-01 00:00:00,B44,100
2025-01-01 00:00:00,B44+,1
2025-01-01 00:00:00,B45,35
2025-01-01 00:00:00,B46,174
2025-01-01 00:00:00,B46+,2
2025-01-01 00:00:00,B47,20
2025-01-01 00:00:00,B48,25
2025-01-01 00:00:00,B49,29
2025-01-01 00:00:00,B52,63
2025-01-01 00:00:00,B54,40
2025-01-01 00:00:00,B57,27
2025-01-01 00:00:00,B6,88
2025-01-01 00:00:00,B60,45
2025-01-01 00:00:00,B61,53
2025-01-01 00:00:00,B62,68
2025-01-01 00:00:00,B63,44
2025-01-01 00:00:00,B64,14
2025-01-01 00:00:00,B65,18
2025-01-01 00:00:00,B67,21
2025-01-01 00:00:00,B68,13
2025-01-01 00:00:00,B69,0
2025-01-01 00:00:00,B7,1
2025-01-01 00:00:00,B70,11
2025-01-01 00:00:00,B74,0
2025-01-01 00:00:00,B8,50
2025-01-01 00:00:00,B82,65
2025-01-01 00:00:00,B82+,7
2025-01-01 00:00:00,B83,12
2025-01-01 00:00:00,B84,0
2025-01-01 00:00:00,B9,9
2025-01-01 00:00:00,B90,0
2025-01-01 00:00:00,B91,0
2025-01-01 00:00:00,B91A,0
2025-01-01 00:00:00,B92,0
2025-01-01 00:00:00,B93,0
2025-01-01 00:00:00,B94,0
2025-01-01 00:00:00,B96,0
2025-01-01 00:00:00,B98,0
2025-01-01 00:00:00,B98V,0
2025-01-01 00:00:00,B99,0
2025-01-01 00:00:00,BM1,0
2025-01-01 00:00:00,BM2,1
2025-01-01 00:00:00,BM3,1
2025-01-01 00:00:00,BM4,0
2025-01-01 00:00:00,BM5,0
2025-01-01 00:00:00,BX1,37
2025-01-01 00:00:00,BX10,13
2025-01-01 00:00:00,BX11,19
2025-01-01 00:00:00,BX12,36
2025-01-01 00:00:00,BX12+,9
2025-01-01 00:00:00,BX13,5
2025-01-01 00:00:00,BX15,10
2025-01-01 00:00:00,BX16,12
2025-01-01 00:00:00,BX17,6
2025-01-01 00:00:00,BX18,0
2025-01-01 00:00:00,BX18A,1
2025-01-01 00:00:00,BX18B,2
2025-01-01 00:00:00,BX19,39
2025-01-01 00:00:00,BX2,0
2025-01-01 00:00:00,BX20,0
2025-01-01 00:00:00,BX21,13
2025-01-01 00:00:00,BX22,15
2025-01-01 00:00:00,BX23,3
2025-01-01 00:00:00,BX24,0
2025-01-01 00:00:00,BX25,0
2025-01-01 00:00:00,BX26,0
2025-01-01 00:00:00,BX27,4
2025-01-01 00:00:00,BX28,23
2025-01-01 00:00:00,BX29,7
2025-01-01 00:00:00,BX3,25
2025-01-01 00:00:00,BX30,3
2025-01-01 00:00:00,BX31,14
2025-01-01 00:00:00,BX32,3
2025-01-01 00:00:00,BX33,4
2025-01-01 00:00:00,BX34,7
2025-01-01 00:00:00,BX35,19
2025-01-01 00:00:00,BX36,48
2025-01-01 00:00:00,BX38,0
2025-01-01 00:00:00,BX39,10
2025-01-01 00:00:00,BX4,5
2025-01-01 00:00:00,BX40,6
2025-01-01 00:00:00,BX41,13
2025-01-01 00:00:00,BX41+,0
2025-01-01 00:00:00,BX42,26
2025-01-01 00:00:00,BX46,0
2025-01-01 00:00:00,BX4A,1
2025-01-01 00:00:00,BX5,6
2025-01-01 00:00:00,BX6,31
2025-01-01 00:00:00,BX6+,2
2025-01-01 00:00:00,BX7,19
2025-01-01 00:00:00,BX8,0
2025-01-01 00:00:00,BX9,34
2025-01-01 00:00:00,BX90,0
2025-01-01 00:00:00,BX92,0
2025-01-01 00:00:00,BX95,0
2025-01-01 00:00:00,BX99,0
2025-01-01 00:00:00,BXM1,6
2025-01-01 00:00:00,BXM10,11
2025-01-01 00:00:00,BXM11,9
2025-01-01 00:00:00,BXM18,0
2025-01-01 00:00:00,BXM2,1
2025-01-01 00:00:00,BXM3,1
2025-01-01 00:00:00,BXM4,2
2025-01-01 00:00:00,BXM6,4
2025-01-01 00:00:00,BXM7,18
2025-01-01 00:00:00,BXM8,14
2025-01-01 00:00:00,BXM9,10
2025-01-01 00:00:00,D90,0
2025-01-01 00:00:00,D99,0
2025-01-01 00:00:00,F1,0
2025-01-01 00:00:00,J90,0
2025-01-01 00:00:00,J99,0
2025-01-01 00:00:00,L90,0
2025-01-01 00:00:00,L91,0
2025-01-01 00:00:00,L92,0
2025-01-01 00:00:00,M1,36
2025-01-01 00:00:00,M10,23
2025-01-01 00:00:00,M100,15
2025-01-01 00:00:00,M101,229
2025-01-01 00:00:00,M102,102
2025-01-01 00:00:00,M103,68
2025-01-01 00:00:00,M104,48
2025-01-01 00:00:00,M106,0
2025-01-01 00:00:00,M11,11
2025-01-01 00:00:00,M116,22
2025-01-01 00:00:00,M12,0
2025-01-01 00:00:00,M125,29
2025-01-01 00:00:00,M14A,0
2025-01-01 00:00:00,M14A+,35
2025-01-01 00:00:00,M14D,0
2025-01-01 00:00:00,M14D+,63
2025-01-01 00:00:00,M15,233
2025-01-01 00:00:00,M15+,29
2025-01-01 00:00:00,M2,82
2025-01-01 00:00:00,M20,5
2025-01-01 00:00:00,M21,0
2025-01-01 00:00:00,M22,3
2025-01-01 00:00:00,M23+,47
2025-01-01 00:00:00,M3,19
2025-01-01 00:00:00,M31,27
2025-01-01 00:00:00,M34+,17
2025-01-01 00:00:00,M34A+,2
2025-01-01 00:00:00,M35,0
2025-01-01 00:00:00,M4,11
2025-01-01 00:00:00,M42,9
2025-01-01 00:00:00,M5,14
2025-01-01 00:00:00,M50,0
2025-01-01 00:00:00,M55,0
2025-01-01 00:00:00,M57,23
2025-01-01 00:00:00,M60+,51
2025-01-01 00:00:00,M66,51
2025-01-01 00:00:00,M7,55
2025-01-01 00:00:00,M72,9
2025-01-01 00:00:00,M79+,80
2025-01-01 00:00:00,M8,15
2025-01-01 00:00:00,M86+,82
2025-01-01 00:00:00,M9,0
2025-01-01 00:00:00,M90,0
2025-01-01 00:00:00,M96,26
2025-01-01 00:00:00,M98,0
2025-01-01 00:00:00,M99,0
2025-01-01 00:00:00,Q06,44
2025-01-01 00:00:00,Q07,13
2025-01-01 00:00:00,Q08,42
2025-01-01 00:00:00,Q09,11
2025-01-01 00:00:00,Q1,8
2025-01-01 00:00:00,Q10,93
2025-01-01 00:00:00,Q100,10
2025-01-01 00:00:00,Q101,5
2025-01-01 00:00:00,Q102,28
2025-01-01 00:00:00,Q103,0
2025-01-01 00:00:00,Q104,0
2025-01-01 00:00:00,Q107,0
2025-01-01 00:00:00,Q108,0
2025-01-01 00:00:00,Q109,0
2025-01-01 00:00:00,Q11,19
2025-01-01 00:00:00,Q110,27
2025-01-01 00:00:00,Q111,30
2025-01-01 00:00:00,Q112,2
2025-01-01 00:00:00,Q113,0
2025-01-01 00:00:00,Q114,31
2025-01-01 00:00:00,Q115,0
2025-01-01 00:00:00,Q12,34
2025-01-01 00:00:00,Q121,0
2025-01-01 00:00:00,Q13,32
2025-01-01 00:00:00,Q14,0
2025-01-01 00:00:00,Q15,6
2025-01-01 00:00:00,Q15A,5
2025-01-01 00:00:00,Q16,1
2025-01-01 00:00:00,Q17,66
2025-01-01 00:00:00,Q18,21
2025-01-01 00:00:00,Q19,0
2025-01-01 00:00:00,Q2,19
2025-01-01 00:00:00,Q20,0
2025-01-01 00:00:00,Q20A,39
2025-01-01 00:00:00,Q20B,6
2025-01-01 00:00:00,Q21,8
2025-01-01 00:00:00,Q22,11
2025-01-01 00:00:00,Q23,73
2025-01-01 00:00:00,Q24,22
2025-01-01 00:00:00,Q25,49
2025-01-01 00:00:00,Q26,0
2025-01-01 00:00:00,Q27,40
2025-01-01 00:00:00,Q28,29
2025-01-01 00:00:00,Q29,14
2025-01-01 00:00:00,Q3,29
2025-01-01 00:00:00,Q30,11
2025-01-01 00:00:00,Q31,1
2025-01-01 00:00:00,Q32,33
2025-01-01 00:00:00,Q33,35
2025-01-01 00:00:00,Q34,0
2025-01-01 00:00:00,Q35,4
2025-01-01 00:00:00,Q36,31
2025-01-01 00:00:00,Q37,36
2025-01-01 00:00:00,Q38,13
2025-01-01 00:00:00,Q39,7
2025-01-01 00:00:00,Q4,54
2025-01-01 00:00:00,Q40,10
2025-01-01 00:00:00,Q41,3
2025-01-01 00:00:00,Q42,0
2025-01-01 00:00:00,Q43,20
2025-01-01 00:00:00,Q44+,36
2025-01-01 00:00:00,Q45,0
2025-01-01 00:00:00,Q46,42
2025-01-01 00:00:00,Q47,22
2025-01-01 00:00:00,Q48,9
2025-01-01 00:00:00,Q49,32
2025-01-01 00:00:00,Q5,39
2025-01-01 00:00:00,Q50,7
2025-01-01 00:00:00,Q51,0
2025-01-01 00:00:00,Q52+,4
2025-01-01 00:00:00,Q53+,27
2025-01-01 00:00:00,Q54,45
2025-01-01 00:00:00,Q55,6
2025-01-01 00:00:00,Q56,16
2025-01-01 00:00:00,Q58,92
2025-01-01 00:00:00,Q59,8
2025-01-01 00:00:00,Q60,56
2025-01-01 00:00:00,Q61,0
2025-01-01 00:00:00,Q63,0
2025-01-01 00:00:00,Q64,12
2025-01-01 00:00:00,Q65,81
2025-01-01 00:00:00,Q66,47
2025-01-01 00:00:00,Q67,0
2025-01-01 00:00:00,Q69,50
2025-01-01 00:00:00,Q70+,0
2025-01-01 00:00:00,Q72,14
2025-01-01 00:00:00,Q74,0
2025-01-01 00:00:00,Q75,0
2025-01-01 00:00:00,Q76,0
2025-01-01 00:00:00,Q77,0
2025-01-01 00:00:00,Q80,0
2025-01-01 00:00:00,Q82,0
2025-01-01 00:00:00,Q83,43
2025-01-01 00:00:00,Q84,27
2025-01-01 00:00:00,Q85,39
2025-01-01 00:00:00,Q86,0
2025-01-01 00:00:00,Q87,0
2025-01-01 00:00:00,Q88,4
2025-01-01 00:00:00,Q89,0
2025-01-01 00:00:00,Q90,0
2025-01-01 00:00:00,Q92,0
2025-01-01 00:00:00,Q93,0
2025-01-01 00:00:00,Q94,0
2025-01-01 00:00:00,Q95,0
2025-01-01 00:00:00,Q96,0
2025-01-01 00:00:00,Q97,0
2025-01-01 00:00:00,Q98,0
2025-01-01 00:00:00,Q98V,0
2025-01-01 00:00:00,QM1,0
2025-01-01 00:00:00,QM10,0
2025-01-01 00:00:00,QM11,0
2025-01-01 00:00:00,QM12,0
2025-01-01 00:00:00,QM15,0
2025-01-01 00:00:00,QM16,0
2025-01-01 00:00:00,QM17,0
2025-01-01 00:00:00,QM18,0
2025-01-01 00:00:00,QM2,0
2025-01-01 00:00:00,QM20,0
2025-01-01 00:00:00,QM21,0
2025-01-01 00:00:00,QM24,0
2025-01-01 00:00:00,QM25,0
2025-01-01 00:00:00,QM3,0
2025-01-01 00:00:00,QM31,0
2025-01-01 00:00:00,QM32,0
2025-01-01 00:00:00,QM34,0
2025-01-01 00:00:00,QM35,0
2025-01-01 00:00:00,QM36,0
2025-01-01 00:00:00,QM4,0
2025-01-01 00:00:00,QM40,0
2025-01-01 00:00:00,QM42,0
2025-01-01 00:00:00,QM44,0
2025-01-01 00:00:00,QM5,2
2025-01-01 00:00:00,QM6,0
2025-01-01 00:00:00,QM63,0
2025-01-01 00:00:00,QM64,0
2025-01-01 00:00:00,QM65,0
2025-01-01 00:00:00,QM68,0
2025-01-01 00:00:00,QM7,0
2025-01-01 00:00:00,QM8,0
2025-01-01 00:00:00,S40,7
2025-01-01 00:00:00,S42,0
2025-01-01 00:00:00,S44,2
2025-01-01 00:00:00,S46,21
2025-01-01 00:00:00,S48,1
2025-01-01 00:00:00,S51,15
2025-01-01 00:00:00,S52,8
2025-01-01 00:00:00,S53,66
2025-01-01 00:00:00,S54,0
2025-01-01 00:00:00,S55,0
2025-01-01 00:00:00,S56,3
2025-01-01 00:00:00,S57,0
2025-01-01 00:00:00,S59,6
2025-01-01 00:00:00,S61,1
2025-01-01 00:00:00,S62,16
2025-01-01 00:00:00,S66,9
2025-01-01 00:00:00,S74,26
2025-01-01 00:00:00,S76,0
2025-01-01 00:00:00,S78,13
2025-01-01 00:00:00,S79+,3
2025-01-01 00:00:00,S81,0
2025-01-01 00:00:00,S84,0
2025-01-01 00:00:00,S86,0
2025-01-01 00:00:00,S89,0
2025-01-01 00:00:00,S90,0
2025-01-01 00:00:00,S91,0
2025-01-01 00:00:00,S92,0
2025-01-01 00:00:00,S93,0
2025-01-01 00:00:00,S94,0
2025-01-01 00:00:00,S96,0
2025-01-01 00:00:00,S98,0
2025-01-01 00:00:00,SIM1,5
2025-01-01 00:00:00,SIM10,0
2025-01-01 00:00:00,SIM11,0
2025-01-01 00:00:00,SIM15,0
2025-01-01 00:00:00,SIM1C,50
2025-01-01 00:00:00,SIM2,0
2025-01-01 00:00:00,SIM22,0
2025-01-01 00:00:00,SIM23,0
2025-01-01 00:00:00,SIM24,0
2025-01-01 00:00:00,SIM25,21
2025-01-01 00:00:00,SIM26,0
2025-01-01 00:00:00,SIM3,0
2025-01-01 00:00:00,SIM30,0
2025-01-01 00:00:00,SIM31,0
2025-01-01 00:00:00,SIM32,0
2025-01-01 00:00:00,SIM33,1
2025-01-01 00:00:00,SIM33C,5
2025-01-01 00:00:00,SIM34,0
2025-01-01 00:00:00,SIM35,0
2025-01-01 00:00:00,SIM3C,23
2025-01-01 00:00:00,SIM4,0
2025-01-01 00:00:00,SIM4C,6
2025-01-01 00:00:00,SIM4X,0
2025-01-01 00:00:00,SIM5,0
2025-01-01 00:00:00,SIM5X,0
2025-01-01 00:00:00,SIM6,0
2025-01-01 00:00:00,SIM6X,0
2025-01-01 00:00:00,SIM7,5
2025-01-01 00:00:00,SIM8,0
2025-01-01 00:00:00,SIM8X,0
2025-01-01 00:00:00,SIM9,4
2025-01-01 00:00:00,T113,0
2025-01-01 00:00:00,T426,0
2025-01-01 00:00:00,X1,0
2025-01-01 00:00:00,X10,0
2025-01-01 00:00:00,X10B,0
2025-01-01 00:00:00,X11,0
2025-01-01 00:00:00,X12,0
2025-01-01 00:00:00,X14,0
2025-01-01 00:00:00,X15,0
2025-01-01 00:00:00,X17,0
2025-01-01 00:00:00,X17A,0
2025-01-01 00:00:00,X17J,0
2025-01-01 00:00:00,X19,0
2025-01-01 00:00:00,X2,0
2025-01-01 00:00:00,X21,0
2025-01-01 00:00:00,X22,0
2025-01-01 00:00:00,X22A,0
2025-01-01 00:00:00,X27,8
2025-01-01 00:00:00,X28,0
2025-01-01 00:00:00,X3,0
2025-01-01 00:00:00,X30,0
2025-01-01 00:00:00,X31,0
2025-01-01 00:00:00,X37,0
2025-01-01 00:00:00,X38,0
2025-01-01 00:00:00,X4,0
2025-01-01 00:00:00,X42,0
2025-01-01 00:00:00,X5,0
2025-01-01 00:00:00,X63,0
2025-01-01 00:00:00,X64,0
2025-01-01 00:00:00,X68,0
2025-01-01 00:00:00,X7,0
2025-01-01 00:00:00,X8,0
2025-01-01 00:00:00,X9,0
2025-01-01 01:00:00,B1,19
2025-01-01 01:00:00,B100,1
2025-01-01 01:00:00,B101,0
2025-01-01 01:00:00,B103,47
2025-01-01 01:00:00,B106,0
2025-01-01 01:00:00,B11,1
2025-01-01 01:00:00,B111,0
2025-01-01 01:00:00,B12,22
2025-01-01 01:00:00,B13,13
2025-01-01 01:00:00,B14,9
2025-01-01 01:00:00,B15,53
2025-01-01 01:00:00,B16,4
2025-01-01 01:00:00,B17,25
2025-01-01 01:00:00,B2,0
2025-01-01 01:00:00,B20,4
2025-01-01 01:00:00,B24,0
2025-01-01 01:00:00,B25,32
2025-01-01 01:00:00,B26,81
2025-01-01 01:00:00,B3,24
2025-01-01 01:00:00,B31,0
2025-01-01 01:00:00,B32,0
2025-01-01 01:00:00,B35,63
2025-01-01 01:00:00,B36,24
2025-01-01 01:00:00,B37,0
2025-01-01 01:00:00,B38,58
2025-01-01 01:00:00,B39,0
2025-01-01 01:00:00,B4,9
